Transaction ID, Sector , Region, Sale Date, Revenue , Units Sold
T001,Technology,North America,2024-01-01,12000,10
T002,Technology,Europe,2024-01-02,15000,12
T003,Healthcare,Asia,2024-01-03,8000,8
T004,Healthcare,Asia,not_a_date,9000,9
T005,Finance,North America,2024-01-05,20000,15
T006,Finance,Europe,2024-01-06,,14
T007,Technology,North America,2024-01-07,13000,11
T008,Finance,Asia,2024-01-08,"18,000",13
T009,Healthcare,Europe,2024-01-09,9500,
T010,Technology,Europe,2024-01-10,16000,14
T010,Technology,Europe,2024-01-10,16000,14
,,,,,
